dokument nr,navn,"format (vidnesbyrd, breve, bøger,Soliloquies, Biographical Sketches",årstal,måned,dag,afsenderby,modtager,modtagerby,incomplete,antal kapitler,"""bog""",tilføjelser,oversætter,,religiøse oplevelser,genre-forkortelser
44,"To Padre Antonio Lárez, Avila",letter,1572,NA,NA,Avila,Padre Antonio Lárez, Avila,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
45,"To Doña Juana de Ahumada, Alba de Tormes",letter,1572,9,27,Avila,Doña Juana de Ahumada,Alba de Tormes,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
46,"To Doña Mariana Juárez de Lara(?), Avila",letter,1572,12,NA,Avila,Doña Mariana Juárez de Lara, Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
47,"To Martín Dávila Maldonado Bocalán, Salamanca",letter,1573,2,1,Avila,Martín Dávila Maldonado Bocalán,Salamanca,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
48,"To Gaspar de Salazar, Cuenca",letter,1573,2,13,Avila,Gaspar de Salazar, Cuenca,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
49,"To Doña Juana de Ahumada, Alba",letter,1573,3,9,Avila,Doña Juana de Ahumada,Alba,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
50,"To Padre Juan Ordóñez, Medina(?)",letter,1573,3,26,Avila,Padre Juan Ordóñez, Medina,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
51,"To Madre Inés de Jesús, Medina del Campo",letter,1573,5,NA,Avila,Madre Inés de Jesús,Medina del Campo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
52,"To the King Don Philip II, Madrid",letter,1573,6,11,Avila,the King Don Philip II, Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
53,"To Padre Juan Ordóñez, Medina del Campo",letter,1573,7,27,Avila,Padre Juan Ordóñez, Medina del Campo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
54,"To Pedro de la Banda, Tozos (Salamanca)",letter,1573,8,2,Salamanca,Pedro de la Banda,Tozos (Salamanca),0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
55,"To Don Francisco de Salcedo, Avila",letter,1573,8,3,Salamanca,Don Francisco de Salcedo,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
56,"To Pedro de la Banda, Salamanca",letter,1573,10,8,Salamanca,Pedro de la Banda,Salamanca,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
57,"To Doña Juana de Ahumada, Alba de Tormes",letter,1573,11,14,Salamanca,Doña Juana de Ahumada,Alba de Tormes,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
58,"To Padre Domingo Báñez, Valladolid",letter,1574,1,NA,Salamanca,Padre Domingo Báñez,Valladolid,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
59,"To Madre Ana de la Encarnación, Salamanca",letter,1574,1,NA,Alba de Tormes,Madre Ana de la Encarnación,Salamanca,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
60,"To Don Alvaro de Mendoza, Valladolid",letter,1574,1,NA,Alba de Tormes,Don Alvaro de Mendoza,Valladolid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
61,"To Padre Domingo Báñez, Valladolid",letter,1574,2,28,Salamanca,Padre Domingo Báñez,Valladolid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
62,"To Some Aspirants, Avila",letter,1574,3,NA,Segovia,Some Aspirants,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
63,"To Madre María Bautista, Valladolid",letter,1574,5,14,Segovia,Madre María Bautista,Valladolid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
64,"To Antonio Gaytán, Alba de Tormes",letter,1574,5,30,Segovia,Antonio Gaytán,Alba de Tormes,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
65,"To Don Francisco de Salcedo(?), Avila",letter,1574,6,4,Segovia,Don Francisco de Salcedo(?),Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
66,"To Madre Ana de la Encarnación(?), Salamanca",letter,1574,5,30,Segovia,Madre Ana de la Encarnación(?),Salamanca,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
67,"To Don Teutonio de Braganza, Salamanca",letter,1574,6,NA,Segovia,Don Teutonio de Braganza,Salamanca,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
68,"To Madre María Bautista, Valladolid",letter,1574,6,NA,Segovia,Madre María Bautista,Valladolid,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
69,"To Don Teutonio de Braganza, Salamanca",letter,1574,7,3,Segovia,Don Teutonio de Braganza,Salamanca,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
70,"To Madre María Bautista, Valladolid",letter,1574,7,16,Segovia,Madre María Bautista,Valladolid,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
71,"To Madre María Bautista, Valladolid",letter,1574,9,11,Segovia,Madre María Bautista,Valladolid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
72,"To Don Teutonio de Braganza, Salamanca",letter,1574,9,15,Segovia,Don Teutonio de Braganza,Salamanca,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
73,"To María Bautista, Valladolid",letter,1574,9,NA,Segovia,María Bautista,Valladolid,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
74,"To Mateo de las Peñuelas, Avila",letter,1574,9,NA,Segovia,Mateo de las Peñuelas,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
75,To Don Antonio Gaytán,letter,1574,NA,NA,Segovia,Don Antonio Gaytán,NA,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
76,"To Padre Domingo Báñez, Valladolid",letter,1574,12,3,Avila,Padre Domingo Báñez,Valladolid,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
77,"To Doña Ana Enríquez, Toro",letter,1574,12,23,Valladolid,Doña Ana Enríquez,Toro,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
78,"To Doña Inés Nieto, Madrid",letter,1574,12,28,Valladolid,Doña Inés Nieto,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
79,"To Don Teutonio de Braganza, Salamanca",letter,1575,1,2,Valladolid,Don Teutonio de Braganza,Salamanca,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
80,"To Don Alvaro de Mendoza, Avila",letter,1575,5,11,Beas,Don Alvaro de Mendoza,Avila,1,1,StTeresaLetters1,"The autograph, now lost","Kieran Kavanaugh, O.C.D.",,,
81,"To Madre Isabel de Santo Domingo,[1] Segovia",letter,1575,5,12,Beas,Madre Isabel de Santo Domingo,Segovia,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
82,"82. To Padre Luis de Granada, Lisbon",letter,1575,5,NA,Beas,Padre Luis de Granada,Lisbon,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
83,"To Padre Juan Bautista Rubeo,[1] Piacenza",letter,1575,6,18,Seville,"Padre Juan Bautista Rubeo,",Piacenza,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
84,"To Doña Inés Nieto, Madrid",letter,1575,6,19,Seville,Doña Inés Nieto,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
85,"85. To Antonio Gaytán, Alba de Tormes",letter,1575,7,10,Seville,Antonio Gaytán,Alba de Tormes,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
86,"86. To King Don Philip II, Madrid",letter,1575,7,19,Seville,King Don Philip II,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
87,"87. To Doña Juana de Ahumada, Alba de Tormes",letter,1575,8,12,Seville,Doña Juana de Ahumada,Alba de Tormes,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
88,"88. To Madre María Bautista, Valladolid",letter,1575,8,28,Seville,Madre María Bautista,Valladolid,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
89,"89. To Padre Jerónimo Gracián, Avila",letter,1575,9,27,Seville,Padre Jerónimo Gracián,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
90,"90. To Padre Baltasar Alvarez, Salamanca",letter,1575,10,9,Seville,Padre Baltasar Alvarez,Salamanca,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
91,91. To Padre Jerónimo Gracián,letter,1575,10,NA,Seville,Padre Jerónimo Gracián,NA,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
92,"92. To Padre Jerónimo Gracián, Toledo",letter,1575,10,NA,Seville,Padre Jerónimo Gracián,Toledo,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
93,"93. To Doña María de Cepeda, Avila",letter,1575,10,24,Seville,Doña María de Cepeda,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
94,"94. To Doña Inés Nieto, Alba de Tormes",letter,1575,10,31,Seville,Doña Inés Nieto,Alba de Tormes,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
95,"95. To Madre Ana de San Alberto, Seville",letter,1575,11,24,Seville,Madre Ana de San Alberto,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
96,"96. To Padre Jerónimo Gracián, Seville",letter,1575,11,NA,Seville,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
97,"97. To Diego Ortiz, Toledo",letter,1575,12,26,Seville,Diego Ortiz,Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
98,"98. To Madre María Bautista, Valladolid",letter,1575,12,30,Seville,Madre María Bautista,Valladolid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
99,"99. To Padre Jerónimo Gracián, Seville(?)",letter,1575,12,NA,Seville,Padre Jerónimo Gracián,Seville,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
100,"100. To Tomás Gracián, Madrid",letter,1575,12,NA,Seville,Tomás Gracián,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
101,"101. To Doña Ana Enríquez(?), Valladolid",letter,1576,1,NA,Seville,Doña Ana Enríquez(?),Valladolid,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
102,"102. To Padre Juan Bautista Rubeo, Cremona",letter,1576,1,NA,Seville,Padre Juan Bautista Rubeo,Cremona,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
103,"103. To Don Rodrigo de Moya, Caravaca",letter,1576,2,19,Seville,Don Rodrigo de Moya,Caravaca,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
104,"104. To Madre María Bautista, Valladolid",letter,1576,2,19,Seville,Madre María Bautista,Valladolid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
105,"105. To María Bautista, Valladolid",letter,1576,4,29,Seville,María Bautista,Valladolid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
106,"106. To Ambrosio Mariano, Madrid",letter,1576,5,9,Seville,Ambrosio Mariano,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
107,"107. To Ana de Jesús, Beas",letter,1576,6,NA,Malagón,Ana de Jesús,Beas,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
108,"108. To Padre Jerónimo Gracián, Seville",letter,1576,6,15,Malagón,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
109,"109. To María de San José, Seville",letter,1576,6,15,Malagón,María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
110,"110. To María de San José, Seville",letter,1576,6,18,Malagón,María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
111,"111. To Jerónimo Gracián, Seville",letter,1576,6,18,Malagón,Jerónimo Gracián,Seville,0,1,StTeresaLetters1,The autograph of the text is torn and incomplete.,"Kieran Kavanaugh, O.C.D.",,,
112,"112. To María de San José, Seville",letter,1576,7,2,Toledo,María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
113,"113. To Don Lorenzo de Cepeda, Toledo",letter,1576,7,9,Toledo,Don Lorenzo de Cepeda,Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
114,"114. To María de San José, Seville",letter,1576,7,11,Toledo,María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
115,"115. To Don Lorenzo de Cepeda, Avila",letter,1576,7,24,Toledo,Don Lorenzo de Cepeda,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
116,"116. To Padre Jerónimo Gracián, Toledo",letter,1576,8,NA,Toledo,Padre Jerónimo Gracián,Toledo,0,1,StTeresaLetters1,"spørgsmålene Teresa svarer på er udeladt, da de er skrevet af Gracian","Kieran Kavanaugh, O.C.D.",,,
117,"117. To Padre Jerónimo Gracián, Almodóvar",letter,1576,9,5,Toledo,Padre Jerónimo Gracián,Almodóvar,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
118,"118. To Padre Jerónimo Gracián, Almodóvar",letter,1576,9,5,Toledo,Padre Jerónimo Gracián,Almodóvar,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
119,"119. To Padre Jerónimo Gracián, Almodóvar",letter,1576,9,6,Toledo,Padre Jerónimo Gracián,Almodóvar,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
120,"120. To Madre María de San José, Seville",letter,1576,9,7,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
121,"121. To Padre Gracián, Almodóvar",letter,1576,9,9,Toledo,Padre Gracián,Almodóvar,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
122,"122. To Madre María de San José, Seville",letter,1576,9,9,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
123,"123. To Don Francisco de Salcedo, Avila",letter,1576,9,13,Toledo,Don Francisco de Salcedo,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
124,"124. To Padre Jerónimo Gracián, Seville",letter,1576,9,20,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
125,"125. To Madre María de San José, Seville",letter,1576,9,20,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
126,"126. To Madre María de San José, Seville",letter,1576,9,22,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
127,"127. To Madre María de San José, Seville",letter,1576,9,26,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
128,"128. To Padre Jerónimo Gracián, Seville",letter,1576,10,5,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
129,"129. To Madre María de San José, Seville",letter,1576,10,5,Toledo,Madre María de San José,Seville,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
130,"130. To Padre Juan de Jesús Roca, La Roda",letter,1576,10,NA,Toledo,Padre Juan de Jesús Roca, La Roda,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
131,"131. To Padre Ambrosio Mariano de San Benito, Madrid",letter,1576,10,NA,Toledo,Padre Ambrosio Mariano de San Benito,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
132,"132. To Madre María de San José, Seville",letter,1576,10,13,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
133,"133. To Padre Ambrosio Mariano, Madrid",letter,1576,10,NA,Toledo,Padre Ambrosio Mariano,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
134,"134. To Padre Jerónimo Gracián, Seville",letter,1576,10,21,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
135,"135. To Padre Ambrosio Mariano, Madrid",letter,1576,10,21,Toledo,Padre Ambrosio Mariano,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
136,"136. To Padre Jerónimo Gracián, Seville",letter,1576,10,23,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
137,"137. To Madre María de San José, Seville",letter,1576,10,NA,Toledo,Madre María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
138,"138. To Padre Jerónimo Gracián, Seville",letter,1576,10,31,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
139,139. To Madre María de San José,letter,1576,10,31,Toledo,Madre María de San José,NA,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
140,"140. To Madre María Bautista, Valladolid",letter,1576,10,NA,Toledo, Madre María Bautista,Valladolid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
141,"141. To Padre Jerónimo Gracián, Seville",letter,1576,11,NA,Toledo,Padre Jerónimo Gracián,Seville,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
142,"142. To Don Lorenzo de Cepeda, Avila",letter,1576,11,NA,Toledo,Don Lorenzo de Cepeda,Avila,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
143,"143. To Madre María Bautista, Valladolid",letter,1576,11,2,Toledo,Madre María Bautista,Valladolid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
144,"144. To Padre Ambrosio Mariano, Madrid",letter,1576,11,3,Toledo,Padre Ambrosio Mariano,Madrid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
145,"145. To Padre Jerónimo Gracián, Seville",letter,1576,11,4,Toledo,Padre Jerónimo Gracián,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
146,"146. To María de San José, Seville",letter,1576,11,8,Toledo,María de San José,Seville,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
