"","year","batch","doc","barrier","penetration","barrier total.containeers","barrier total.enclosed openings in earth","barrier total.protective surfaces","barrier total.covered hidden etc","barrier total.special structures","barrier total.shell animal","barrier total._","penetration total.entranceways and openings","penetration total.permeable","penetration total.body orifices and use","penetration total.autopsy etc","penetration total.wounds and deformity","penetration total.spurt and excrete","penetration total.transparency","work","leisure","home","money","relig","death","negemo","posemo","anx","anger","sad","insight","cause","discrep","tentat","certain","see","hear","feel","body","health","sexual","ingest"
"267",1573,3,"bent gave me fortitude not to lose anything of what I thought belonged to the honor of the world. And I did not see that I was losing it in many other ways.
4. I was extreme in my vain desire for my reputation, but the means necessary to preserve it I didn't take; although I was very circumspect so as not to lose it entirely.
This friendship pained my father and sister. They often reproached me for it. Since they couldn't do away with the occasion for her coming to our home, their careful efforts were useless, for I was strikingly shrewd when it came to mischief. It frightens me sometimes to think of the harm a bad companion can do, and if I hadn't experienced it I wouldn't believe it. Especially during adolescence the harm done must be greater. I should like parents to learn from my experience to be very watchful in this matter. And indeed this conversation so changed me that hardly any virtue remained to my naturally virtuous soul. And I think she and another girl friend of the same type impressed their own traits upon me.
5. From such experience I understand the great profit that comes from good companionship. And I am certain that if at that age I had gone around with virtuous persons, I would have remained whole in virtue. For should I have had when that age someone to teach me to fear God, my soul would have gained strength not to fall. Afterward, having lost this fear of God completely, I only had the fear of losing my reputation, and such fear brought me torment in everything I did. With the thought that my deeds would not be known, I dared to do many things truly against my honor and against God.
6. These things did me harm, I think, at the beginning, and it wasn't her fault but mine. For afterward my malice was sufficient, together with having the maids around, for in them I found a helping hand for every kind of wrong. If there had been one of them to give me good counsel, I perhaps would have benefited by it; but self-interest blinded them as my vanity did me. I was never inclined to great evil -- for I naturally abhorred indecent things -- but to the pastime of pleasant conversation; yet, placed in the occasion, the danger was at hand, and my father's and brothers' reputation was in jeopardy as well. From all these occasions and",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,5,0,22,22,5,2,6,11,2,13,10,11,3,0,2,2,2,0,0
"268",1573,4,"dangers God delivered me in such a way that it seems clear He strove, against my will, to keep me from being completely lost, although this deliverance could not be achieved so secretly as to prevent me from suffering much loss of reputation and my father from being without suspicion. For it doesn't seem to me that three months during which I engaged in these vanities had gone by when my father brought me to a convent in that place where they educated persons like myself, although not with habits as bad as mine. This was done so cautiously that only I and some relatives knew about it because they waited for an opportunity when it would not seem surprising for me to go to the convent school; that is, once my sister was married it seemed no longer good for me to stay at home without a mother.
7. So excessive was the love my father bore me and so great my dissimulation that he was unable to believe there was much wrong with me, and so he was not angered with me. Since this period of time had been brief, and though he knew something, nothing could be said with certainty. For since I feared so much for my honor, I used every effort to keep my actions secret, and I never considered that one can never do this with Him who sees all things. O my God! What harm is done in the world by considering our actions of only little importance and by thinking something can be done against You in secret! I am certain that great evils would be avoided if we were to understand that the whole matter lies not in our guarding ourselves against men but in our guarding ourselves against displeasing You.
8. The first eight days I felt very unhappy because of my being in the convent school, and more than that because of my suspicion that they knew about my vanity. For already I was wearied and did not fail to have great fear of God when I offended Him, trying to go to confession at once. Although at the beginning I was very unhappy, within eight days -- and I think even less -- I was much more content than when in my father's house. All were very pleased with me, for the Lord gave me the grace to be pleasing wherever I went, and so I was much loved. And although at that time I was strongly against",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,8,0,21,18,5,5,6,19,6,5,8,9,1,1,1,0,0,2,0
"269",1573,5,"my becoming a nun, it made me happy to see such good nuns, for there were many good ones in that house, very modest, religious and circumspect. Nonetheless, in spite of all, the devil didn't let up tempting me, through some outsiders who continued to send me messages. But since the opportunities were few, these persons stopped sending them. My soul began to return to the good habits of early childhood, and I saw the great favor God accords to anyone placed with good companions. It seems to me that His Majesty was considering and reconsidering in what way He could bring me back to Himself. May You be blessed, Lord, who put up with me so long! Amen.
9. One thing, it seems, that could have amounted to some excuse for me, should I not have had so many faults, was that the friendship with one of my cousins was in view of a possible marriage; and having inquired of my confessor and other persons about many things, I was told I was doing nothing against God.
10. There was a nun there in care of the dormitory for all of us who were lay persons. It was by means of her it seems that the Lord wished to begin to give me light, as I shall now tell. CHAPTER 27
 
Treats of another way in which the Lord instructs the soul and, without speaking to it, makes His will known in a wonderful manner. Explains also a non-imaginative vision and great favor the Lord granted her. This chapter is very noteworthy.
 
1. Well, to return to the account of my life. I was enduring this difficult affliction, and, as I have said, many prayers were being offered up that the Lord might lead me by another safer path since this one, they told me, was so suspect. The truth of the matter is that even though I was beseeching God and however much I wanted to desire another path, it wasn't in my power to desire it, even though I always prayed for it, because I saw my soul so improved -- except sometimes when I was very worn out from the things they told me and the fears they caused. I saw that I was a completely different person. I could not desire another path, but I placed myself in the hands of God that He would carry out His will completely in me; He knew what suited me. I saw that on this road I was",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,1,22,0,5,18,1,1,0,13,7,10,10,6,6,2,1,1,1,0,0
"270",1573,6,"being led to heaven, that previously I had been going to hell, and that I should want to follow this road and not believe that it had the devil as cause. Nor was I able to force myself, even though I did all I could, to believe and desire another road; it wasn't in my power to do so. I offered up what I did, if there was some good deed, for this intention. I invoked my favorite saints that they might free me from the devil. I made novenas. I recommended myself to St. Hilarion and to St. Michael the Archangel, of whom again I became a devotee for this purpose, and I begged many other saints that the Lord might show the truth -- I mean that they might obtain this for me from His Majesty.
2. After two years of all these prayers of mine and those of others offered for the said intention (that the Lord would either lead me by another way or make known the truth, for the locutions I mentioned that the Lord granted me were experienced very repeatedly), the following happened to me. Being in prayer on the feastday of the glorious St. Peter, I saw or, to put it better, I felt Christ beside me; I saw nothing with my bodily eyes or with my soul, but it seemed to me that Christ was at my side -- I saw that it was He, in my opinion, who was speaking to me. Since I was completely unaware that there could be a vision like this one, it greatly frightened me in the beginning; I did nothing but weep. However, by speaking one word alone to assure me, the Lord left me feeling as I usually did: quiet, favored, and without any fear. It seemed to me that Jesus Christ was always present at my side; but since this wasn't an imaginative vision, I didn't see any form. Yet I felt very clearly that He was always present at my right side and that He was the witness of everything I did. At no time in which I was a little recollected, or not greatly distracted, was I able to ignore that He was present at my side.
3. I immediately went very anxiously to my confessor to tell him. He asked me in what form I saw Him. I answered that I didn't see Him. He asked how I knew that it was Christ. I answered that I didn't know how,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,19,0,10,12,4,1,2,18,13,7,15,10,7,4,3,2,0,0,0
"271",1573,7,"but that I couldn't help knowing that He was beside me, that I saw and felt Him clearly, that my recollection of soul was greater, and that I was very continuously in the prayer of quiet, that the effects were much different from those I usually experienced, and that it was very clear.
I could do nothing but draw comparisons in order to explain myself. And, indeed, there is no comparison that fits this kind of vision very well. Since this vision is among the most sublime (as I was afterward told by a very holy and spiritual man, whose name is Friar Peter of Alcántara and of whom I shall speak later, and by other men of great learning) and the kind in which the devil can interfere the least of all, there are no means by which those of us who know little here below can explain it. Learned men will explain it better. For if I say that I see it with the eyes neither of the body nor of the soul, because it is not an imaginative vision, how do I know and affirm that He is more certainly at my side than if I saw Him? It is incorrect to think that the vision is like that experience of those who are blind or in the dark who don't see the other at their side. There is some likeness in this comparison but not a great deal, because in such a case these people experience with their senses; either they hear the other person speak or stir, or they touch them. In the vision there is nothing of this, nor do you see darkness; but the vision is represented through knowledge given to the soul that is clearer than sunlight. I don't mean that you see the sun or brightness, but that a light, without your seeing light, illumines the intellect so that the soul may enjoy such a great good. The vision bears with it wonderful blessings.
4. This vision is not like the presence of God that is often felt, especially by those who experience the prayer of union or quiet, in which it seems that in desiring to begin to practice prayer we find Him to speak to, and it seems we know that He hears us through the effects and spiritual feelings of great love and faith that we tenderly experience, and through other resolutions. This presence is a great favor from God and should be highly esteemed by the one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,1,20,0,0,0,25,6,6,14,5,11,8,4,2,2,1,0
"272",1573,8,"He gives it to, for it is a very sublime prayer, but it is not a vision; in this prayer of union or quiet one understands that God is present by the effects that, as I say, He grants to the soul -- that is the way His Majesty wants to give the experience of Himself. In this vision it is seen clearly that Jesus Christ, son of the Virgin, is present. In the prayer of union or quiet some impressions of the Divinity are bestowed; in this vision, along with the impressions, you see that also the most sacred humanity accompanies us and desires to grant us favors.
5. Then the confessor asked me, ""Who said it was Jesus Christ?"" ""He told me many times,"" I answered. But before He told me He impressed upon my intellect that it was He, and before doing this latter He told me He was present -- but I didn't see Him. If a person whom I had never seen but only heard of should come to speak to me while I was blind or in the pitch dark and tell me who he was, I would believe it; but I wouldn't be able to assert as strongly that it was that person as I would if I saw him. In the case of this vision, I would; for, without being seen, it is impressed with such clear knowledge that I don't think it can be doubted. The Lord desires to be so engraved upon the intellect that this vision can no more be doubted than can what is seen; and even less, because when we see we sometimes suspect we may have fancied what we saw. In this vision, even though a suspicion may at first arise, there remains on the other hand such great certitude that the doubt has no force.
6. Hence, there is also another way in which God teaches the soul and speaks to it, different from the manner of speaking described previously. It is a language that belongs so to heaven that here on earth it is poorly understood, no matter how much we may desire to tell about it, if the Lord does not teach us through experience. The Lord puts what He wants the soul to know very deeply within it, and there He makes this known without image or explicit words, but in the manner of this vision we mentioned. And this manner in which God gives the soul understanding of His desires and",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,21,0,4,11,4,0,0,13,6,14,16,4,11,8,1,1,1,1,0
"273",1573,9,"great truths and mysteries is worthy of close attention. Often this is the way I understand when His Majesty explains some vision He wishes to represent to me. It seems to me that for the following reasons the devil can interfere least in this experience. If these reasons aren't good ones, I must be wrong.
7. This kind of vision and language is something so spiritual that there is no restlessness in the faculties or in the senses, in my opinion, by which the devil can deduce anything. Sometimes -- briefly -- this suspension takes place; but at other times it seems to me that the faculties are not suspended, nor are the senses withdrawn but very much present. This vision and locution doesn't always come during contemplation; it very seldom does. Yet, when it comes, I say that we neither act nor do anything; all seems to be the work of the Lord. It's as though the food were already placed in the stomach without our eating it or knowing how it got there. It is clearly known to be there, although the stomach doesn't know what food it is or who put it there. But in the case of these locutions, the intellect does know, yet it doesn't know how the locution got there; nothing is seen or understood, nor was the soul ever moved to desire it -- nor had I ever been informed that this was possible.
8. In the locution we spoke of previously, God makes the intellect become aware -- even though it may not wish to do so -- and understand what is said; in that experience the soul seemingly has other ears with which it hears, and God makes it listen, and it is not distracted. It's like this: if people have good hearing and don't block their ears and are spoken to in a loud voice, they hear, even though they may not want to; and, in fact, they do something, since they are attentive in order to understand what is spoken to them.
In the locution we are now speaking of, there is none of the above; even this little thing of only listening, which the soul did in the previous locution, is taken away. It finds everything prepared and eaten. There is nothing more to do than to enjoy, as in the example of someone who without having learned or done any work to know how to read, and without having studied anything, would find that all knowledge was possessed",2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,7,1,0,0,9,0,5,8,2,0,0,30,9,8,26,10,1,15,0,4,0,0,4
"274",1573,10,"inwardly, without knowing how or where it was gotten since no studying had been done, nor even had the abc's been learned.
9. This last comparison seems to me to explain something about this heavenly gift, for the soul sees that in an instant it is wise; the mystery of the Blessed Trinity and other sublime things are so explained that there is no theologian with whom it would not dispute in favor of the truth of these grandeurs. It is left full of amazement; one of these favors is enough to change a soul completely, free it from the love of things, and make it love Him who it sees makes it capable, without any effort of its own, of blessings so great, who communicates secrets to it and treats it with such friendship and love that one cannot describe this in writing. He grants some favors that would be suspect, since they are so admirable and granted to someone who has so little merited them. Those who don't have a very living faith will be unable to believe in them. So I am thinking of speaking but little of the favors the Lord granted me -- unless I'm ordered to do otherwise -- except for certain visions that can do some good for others; or so that the one to whom the Lord may grant them doesn't become frightened, as I did, in thinking the experience is impossible; or that I might explain the manner and path by which the Lord led me, which is what they commanded me to write about.
10. Returning then to the discussion of this kind of understanding, it seems to me that the Lord in every way wants this soul to have some knowledge of what goes on in heaven. I think that just as in heaven you understand without speaking (which I certainly never knew until the Lord in His goodness desired that I should see and showed Himself to me in a rapture), so it is in this vision. For God and the soul understand each other only through the desire His Majesty has that it understand Him, without the use of any other means devised to manifest the love these two friends have for each other. It's like the experience of two persons here on earth who love each other deeply and understand each other well; even without signs, just by a glance, it seems, they understand each other. This must be similar to what happens in the vision;",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,17,0,1,31,1,0,0,24,8,8,16,7,4,2,0,0,1,5,0
"275",1573,11,"without our knowing how, these two lovers gaze directly at each other, as the Bridegroom says to the Bride in the Song of Songs -- I think I heard that it is there.
11. O admirable kindness of God, You allow me to gaze upon You with eyes that have so badly gazed as have those of my soul. May they, Lord, become accustomed through this vision not to look at base things, so that nothing outside of You might satisfy them! O ingratitude of mortals! To what extremes will you go? For I know through experience that what I say is true and that what can be said is the least of what You do, Lord, for a soul You bring to such frontiers. O souls that have begun to practice prayer and have true faith, what good things can you still seek in this life -- leaving aside what is gained for eternity -- that could compare with the least of these favors?
12. Reflect that it is indeed certain that God gives Himself in this way to those who give up all for Him. He shows no partiality, He loves everyone. Nobody has any excuse, no matter how miserable they may be, since the Lord so acts with me in bringing me to such a state. Note that what I say is not even a compendium of what could be said. I only say what is necessary to explain this kind of vision and favor the Lord grants the soul. But I can't describe what is felt when the Lord gives it an understanding of His secrets and grandeurs, the delight that so surpasses all those knowable here on earth; indeed, it rightly makes you abhor the delights of this life, which together are all rubbish. I would find it revolting to have to try to make a comparison between the two delights, even if those of earth were to last forever and those given by the Lord were only a drop of water from the vast overflowing river that is prepared for us.
13. It is a shame, and I certainly am ashamed of myself; if one were able to be embarrassed in heaven, I would be more embarrassed there than anyone! Why must we want so many blessings and delights and so much endless glory all at the cost of the good Jesus? Shall we not at least weep with the daughters of Jerusalem since we do not, with the Cyrenian, help Him carry His cross?",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,17,1,6,22,5,0,2,11,8,8,7,14,5,9,1,1,2,2,1
"276",1573,12,"How can we enjoy along with pleasures and pastimes what He won for us at the cost of so much blood? It's impossible! And do we think that with vain honors we can imitate Him in the contempt He suffered so that we might reign forever? Such a road leads nowhere; it's the wrong, wrong road; we will never arrive by it.
Your Reverence ought to cry out these truths since God has taken from me freedom to do so. I should like them to be proclaimed to me always; yet I've been so slow myself to hear and understand God, as will be seen in what is written here, that it is very embarrassing to speak about this; as a result I desire to be silent. I shall only say what sometimes comes to mind. May it please the Lord to bring me to the goal that I might enjoy this blessing.
14. What accidental glory and what happiness will be the lot of the blessed when they see that, even though late, nothing possible remained for them to do for God and that in conformity with their strength and state they left nothing undone for Him, and in having more, gave more! How rich they will find that they are, they who have left all riches for Christ! How honored will they be, they who have not sought honor from Him but have enjoyed seeing themselves humbled! How wise will they be, they who rejoiced to be considered mad because that is what Wisdom Himself was called! How few madmen there are now -- on account of our sins! Truly it seems that now there are no more of those whom people considered mad for doing the heroic deeds of true lovers of Christ. O world, world, how you go on gaining in honor by having few who know you!
15. But do we think that God is now served more if we are considered wise and discreet! That really must be the reason so much discretion is used. We are quick to believe that not much edification is given if each one doesn't proceed, according to one's state, with composure and authority. Even a friar, cleric, or nun would think that to wear something old and patched would be a kind of novelty and would give scandal to the weak; and that even recollection and the practice of prayer would do this. The world has such a mentality and has so forgotten the great perfection and lofty impulses",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,12,0,11,29,1,3,2,13,12,11,11,9,3,4,0,2,1,1,0
"277",1573,13,"of love the saints experienced that I think this mentality causes more harm and misfortune in these troubled times we live in than the scandals caused by religious when they back up with deeds what they say with words about how little the world should be esteemed; from such scandals the Lord draws forth great blessings. If some are scandalized, others come to their senses. At least there would be offered an image of what Christ and His Apostles suffered since now more than ever such an image is needed.
16. And what a good image of Christ God took from us now in the blessed Friar Peter of Alcántara! The world cannot at this time endure so much perfection. They say that our health is weaker and that these times are not like those of the past. Yet this holy man belonged to the present age. His spirit is large, as in times past; so he trampled the world under foot. Although others may not be detached or perform such harsh penance as he, there are many ways, as I've said at other times, of trampling on the world; the Lord teaches them when He sees the courage. And what marvelous courage His Majesty gave this great saint of whom I'm speaking in order that he perform such rough penance, as everyone knows, for forty-seven years! I want to say something about this penance, for I know the facts are all true.
17. He told me of it, and also another person from whom he hid nothing. (The reason he told me was his love for me, for the Lord desired this so that he would return and encourage me at a time of great need, as I said and will say.) I think he told me that for forty years he slept only an hour and a half during the night and that in the beginning this was his greatest penitential trial, to conquer sleep, and that to do this he was always either on his knees or standing. When he did sleep, he did so sitting up, with his head resting on a little log nailed to the wall. He could not have stretched out even if he wanted to, because his cell -- as is known -- was no larger than four and a half feet. However hot or rainy the weather was in all those years, he never put up his cowl; he wore nothing on his feet, nor did he wear any clothes other",3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,16,0,4,14,0,0,1,7,6,11,9,8,4,7,2,10,2,2,0
"278",1573,14,"than a coarse serge habit with nothing else to cover the body -- that was as tight as could be, and a short mantle over it made of the same material. He told me that when it was terribly cold he took the mantle off and left the door and little window of his cell opened so that afterward by putting the mantle on again and closing the door he was able to appease the body by the warmth that came from more covering. Eating every third day was a very common practice for him, and he told me when I showed surprise that it was easily possible for anyone who got used to doing so. One of his companions told me that once Friar Peter went eight days without eating. It must have happened while he was in prayer, for he experienced great raptures and impulses of love of God, of which I was once a witness.
18. His practice of poverty and mortification during his youth was extreme. He told me that he had lived in a house of his order for three years and, because he had never raised his eyes, had not known any of the friars save by their voice, and that he hadn't known how to get to the places where he had go, but followed the other friars. This he did on his journeys. He never looked at women for many years. He told me that it no longer made any difference whether he saw or did not see. But he was very old when I came to know him, and so extremely weak that it seemed he was made of nothing but tree roots.
Yet with all this sanctity he was very affable, although his words were few unless he was questioned. He was very pleasant in his speech because he had a bright mind. There are many other things I should like to say, but I am afraid your Reverence will ask why I'm getting into all this -- and I've written it with this fear. Hence, I will conclude by saying that his ending was like his life, preaching to his friars and admonishing them. When he saw that he was dying, he recited the psalm, Laetatus sum in his quae dicta sunt mihi, and casting himself on his knees, he died.
19. Afterward the Lord was pleased that I receive more help from him -- through the counsel he gave me about many matters -- than I did during his",4,3,0,2,0,2,0,0,0,1,0,2,0,0,0,0,3,0,4,1,5,2,4,11,2,0,0,6,11,3,7,7,6,4,3,4,2,1,2
"279",1573,15,"life. I have often seen him in the greatest glory. He told me the first time he appeared to me that the penance that merited such a reward was a blessed penance, and many other things. One year before he died, though being some leagues away from here, he appeared to me; since I knew he was going to die, I told him so. When he died, he appeared to me and told me that he was going to his rest. I didn't believe it, but did tell some persons; after eight days the news came that he was dead, or, better, that he had begun to live forever.
20. Behold how this harsh life ended with such great glory. I think he consoles me much more than when he was here on earth. The Lord once told me that nothing would be sought in Friar Peter's name that He would not bestow. Many of the things I've recommended to his prayers I've seen fulfilled. May the Lord be blessed forever, amen.
21. But what a discourse I've got into! May it awaken your Reverence so that you will not esteem anything pertaining to this life -- as though you didn't know and weren't already determined to abandon all, and hadn't already put this renunciation into practice!
I see so much perdition in the world that even though my writing about it brings me no more benefit than to tire me out, I find rest in doing so; for everything I have written is against myself. May the Lord pardon me for my offenses against Him in this matter, and may your Reverence do so too, for I tire you unintentionally. It appears that I want you to do penance for my sins in this matter.

CHAPTER 28
 
Deals with the great favors the Lord granted her and how He appeared to her the first time. Explains what an imaginative vision is. Tells about the remarkable effects and signs this vision leaves behind when it is from God. This is a very instructive chapter and well worth nothing.
 
1. To return to our topic, I passed some days -- a few -- in which I experienced this vision continually; it did me so much good that I never left prayer. No matter how much I did, I strove that it be done in such a way that it would not displease the One who I clearly saw was witnessing it. And although sometimes I was afraid on account of all the warnings",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,14,4,4,14,1,1,1,9,5,4,16,7,4,0,0,0,5,0,0
"280",1573,16,"they were giving, this fear didn't last long, because the Lord was giving me assurance.
One day, while I was in prayer, the Lord desired to show me only His hands which were so very beautiful that I would be unable to exaggerate the beauty. This vision caused me great fear; any supernatural favor the Lord grants me frightens me at first, when it is new. After a few days I saw also that divine face which it seems left me completely absorbed. Since afterward He granted me the favor of seeing Him entirely, I couldn't understand why the Lord showed Himself to me in this way, little by little, until later I understood that His Majesty was leading me in accordance with my natural weakness. May He be blessed forever! So much glory would have been unbearable next to so lowly and wretched a subject as I; and as one who knew this, the merciful Lord was preparing me.
2. It will seem to your Reverence that strength like this wasn't necessary to see some hands and so beautiful a face. Glorified bodies have such beauty that the sight of so supernatural a beauty deriving from glory causes confusion. Thus the vision caused me a fear so great that I was completely agitated and disturbed, although afterward I remained so certain and secure and felt such other effects that I immediately lost the fear.
3. One feastday of St. Paul, while I was at Mass, this most sacred humanity in its risen form was represented to me completely, as it is in paintings, with such wonderful beauty and majesty; I have written about it in particular to your Reverence when you insistently ordered me to do so. And writing about it was very difficult for me to do because one cannot describe this vision without ruining it. But as best I could I have already told you about it, and so there is no reason to speak of it here again. I only say that if there were nothing else to provide delight for one's vision in heaven than the exalted beauty of glorified bodies, this vision would be very great glory, especially the vision of the humanity of Jesus Christ, our Lord. And if even here on earth His Majesty shows Himself according to what our wretchedness can bear, what will be the glory when such a blessing is enjoyed completely?
4. I never saw this vision -- nor any other -- with my bodily eyes, even though it is",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,15,0,13,33,7,1,3,8,11,8,10,10,13,2,3,8,1,0,0
"281",1573,17,"an imaginative one.
Those who know more about these matters than I say that the intellectual vision is more perfect than this one and that this one is much more perfect than visions seen with the bodily eyes. These latter, corporeal visions, they say, are the lowest and the kind in which the devil can cause more illusions; although at that time I couldn't understand this. But since an imaginative vision was being granted to me, I desired that I might see it with my bodily eyes so that my confessor wouldn't tell me that I had imagined it. And after the vision passed away, it also happened to me -- and this was at once -- that I thought that I had imagined it; thinking I had deceived my confessor, I was bothered about having told it to him. This was another cause for tears, and I went and explained to him. He asked me whether it just seemed to me that I had deceived him or whether I had desired to deceive him. I told him the truth, for, in my opinion, I had not lied, nor had I intended to; nor for anything in the world would I say one thing for another. He well knew this, and so he tried to calm me. I felt so sorry for having gone to him with these things, for I don't know how the devil got me to torment myself with the thought that I had made up the vision.
But so quickly did the Lord grant me this favor and declare this truth that very soon the doubt about my imagining it left me, and afterward I saw clearly my foolishness. If I should have spent many years trying to imagine how to depict something so beautiful, I couldn't have, nor would I have known how to; it surpasses everything imaginable here on earth, even in just its whiteness and splendor.
5. The splendor is not one that dazzles; it has a soft whiteness, is infused, gives the most intense delight to the sight, and doesn't tire it; neither does the brilliance, in which is seen the vision of so divine a beauty, tire it. It is a light so different from earthly light that the sun's brightness that we see appears very tarnished in comparison with that brightness and light represented to the sight, and so different that afterward you wouldn't want to open your eyes. It's like the difference between a sparkling, clear water that flows over",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,9,18,1,2,2,20,8,11,10,7,16,3,2,5,2,0,1
"282",1573,18,"crystal and on which the sun is reflecting and a very cloudy, muddy water flowing along the ground. This doesn't mean that the sun is represented or that the light resembles sunlight. It seems in fact like natural light, and the sunlight seems artificial. It is a light that has no night; nothing troubles it. In sum, it is of such a kind that a person couldn't imagine what it is like in all of life's days no matter how powerful the intellect. God gives it so suddenly that there wouldn't even be time to open your eyes, if it were necessary to open them. For when the Lord desires to give the vision, it makes no more difference if they are opened than if they are closed; even if we do not desire to see the vision, it is seen. No distraction is enough to resist it, nor is there power or diligence or care enough to do so. I have clearly experienced this, as I shall say.
6. What I should now like to speak of is the way in which the Lord reveals Himself by means of these visions. I don't mean that I shall explain how such a strong light can be put in the interior faculty and so clear an image put in the intellect -- for it seems truly that that's where it is -- because this is something for men of learning to explain. The Lord has not given me understanding of how this is done, and I am so ignorant and my intellect so dull that to no matter what extent these men of learning have desired to explain to me how this vision comes about, I have still not been able to understand. It is certain that even though it seems to your Reverence that I have a lively intellect, I do not. In many things I've experienced that I don't know any more than what is given me to eat, as the saying goes. Sometimes my confessors have been amazed at my ignorance. And I have never understood, nor have I desired to understand, how God causes this vision or how it could come about, nor did I ask, even though, as I have said, for many years now I've had contact with competent men of learning. Whether something was a sin or not -- yes, this I did discuss with them. As for the rest, it wasn't necessary for me to think anything but that God did it",0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,8,0,6,13,1,0,1,23,9,12,18,9,6,4,0,1,0,0,2
"283",1573,19,"all. I saw there was no reason for me to be startled but to praise Him. Indeed the difficult things He does cause more devotion in me; and the more difficult, the more devotion they cause.
7. I shall then say what I have come to see through experience. How the Lord does it, your Reverence will speak of better than I, and will explain what remains obscure and what I may not have known how to say. It seemed clear to me in some cases that what I saw was an image, but in many other instances, no; rather, it was Christ Himself by reason of the clarity with which He was pleased to reveal Himself to me. Sometimes the vision was so obscure that it seemed to me an image, not like an earthly drawing no matter how perfect it may be -- for I have seen many good ones. It is foolish to think that an earthly drawing can look anything like a vision; it does so no more nor less than living persons resemble their portraits. No matter how good the portrait may have turned out, it can't look so natural that in the end it isn't recognized as a dead thing. But let us leave this example aside; it applies well here and is very exact.
8. I don't say this example is a comparison -- for comparisons are never so exact -- but the truth. The difference lies in that which there is between living persons and paintings of them -- no more nor less. For if what is seen is an image, it is a living image -- not a dead man, but the living Christ. And He makes it known that He is both man and God, not as He was in the tomb but as He was when He came out of the tomb after His resurrection. Sometimes He comes with such great majesty that no one could doubt but that it is the Lord Himself. Especially after receiving Communion -- for we know that He is present, since our faith tells us this -- He reveals Himself as so much the lord of this dwelling that it seems the soul is completely dissolved; and it sees itself consumed in Christ. O my Jesus! Who could make known the majesty with which You reveal Yourself! And, Lord of all the world and of the heavens, of a thousand other worlds and of numberless worlds, and of the heavens that You might",2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,14,4,8,16,3,1,0,15,11,4,15,10,12,4,0,0,5,0,0
"284",1573,20,"create, how the soul understands by the majesty with which You reveal Yourself that it is nothing for You to be Lord of the world!
9. In this vision the powerlessness of all the devils in comparison with Your power is clearly seen, my Jesus; and it is seen how whoever is pleasing to You can trample all hell under foot. In this vision the reason is seen why the devils feared when You descended into limbo and why they would have preferred to be in another thousand lower hells in order to flee from such great majesty. I see that You want the soul to know how tremendous this majesty is and the power that this most sacred humanity joined with the Divinity has. In this vision there is a clear representation of what it will be like on Judgment Day to see the majesty of this King and to see its severity toward those who are evil. This vision is the source of the true humility left in the soul when it sees its misery, which it cannot ignore. This vision is the source of confusion and true repentance for sins; although the soul sees that He shows love, it doesn't know where to hide, and so it is completely consumed.
I say that this vision has such tremendous power when the Lord desires to show the soul a great part of His grandeur and majesty that it would be impossible for any subject to endure it -- unless the Lord should want to help it very supernaturally by placing it in rapture and ecstasy since in the enjoyment of that divine presence the vision of it is lost.
Is it true that it is forgotten afterward? That majesty and beauty remain so impressed that they are unforgettable, except when the Lord wishes the soul to suffer a great dryness and solitude of which I shall speak further on; for then it seems it even forgets God. The soul undergoes a change; it is always absorbed; it seems that a new, living, high degree of love is beginning. For although the intellectual vision, of which I spoke, that represents God in an imageless way is more perfect, a wonderful thing happens when so divine a presence is represented in the imagination so that in conformity with our weakness this presence can last in the memory and keep the thought well occupied. These two kinds of vision almost always come together. This is the way they occur: with the eyes",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,0,13,23,3,2,4,11,11,9,6,11,11,3,1,2,2,2,0
